,0,1,2,3,4,5,6,7,8,9
2019,-5.0676413,10.476122,-1.5103686,-8.495256,-4.597144,-3.7839975,10.596126,-2.2502964,-8.686637,-4.124806
2020,-21.344887,7.1077504,-3.324759,-11.638497,-29.200394,-22.221159,6.9332795,-2.9216468,-12.221637,-30.431162
2021,-32.673767,26.55175,-6.3840513,-9.219874,-21.725943,-26.184326,27.780409,-5.7062545,-9.09954,-13.209712
2022,-9.613155,15.039028,-2.9181786,-10.240496,-7.7328014,-10.930864,17.841423,-3.2347653,-11.602526,-7.9267325
2023,-6.9997053,8.782691,-1.6056793,-16.531963,-16.354656,-6.03739,9.475744,-3.1926045,-15.486341,-15.240592
2024,-22.099289,17.461918,-5.519105,-18.633347,-28.789822,-26.543102,23.102655,-6.816369,-20.915539,-31.172354
2025,-11.542224,14.630092,-3.2720308,-24.090029,-24.274193,-12.09086,15.633887,-3.7802932,-24.779154,-25.01642
2026,-5.213185,9.277773,-1.6684039,-15.48571,-13.089525,-5.636114,9.506099,-1.4276912,-15.7913265,-13.349033
2027,-11.015753,16.446777,-2.2315898,-15.960239,-12.760805,-11.399108,18.367613,-2.3806243,-17.141098,-12.553217
2028,-29.121511,67.32049,-7.479412,-100.76027,-70.04071,-29.706762,68.66109,-7.1364455,-104.33746,-72.519585
2029,-20.226118,51.325016,-8.124796,-55.142994,-32.16889,-21.988579,51.913788,-6.9797616,-53.49117,-30.545721
2030,-3.2780402,6.240652,-1.3580253,-7.746882,-6.142295,-3.3117173,6.160506,-1.2700672,-7.4848175,-5.9060965
2031,-13.546851,8.0605545,-2.4398987,-6.201715,-14.127911,-11.943094,7.7014694,-1.9047557,-6.3411508,-12.487532
2032,-5.6683483,12.905004,-2.0501487,-17.661255,-12.474748,6.370572,13.0496235,-2.6924007,-15.710808,1.0169872
2033,-30.878681,49.018272,-9.868836,-71.21854,-62.94778,-31.583927,51.049553,-11.0526495,-72.86493,-64.45195
2034,-53.89586,53.181717,-16.594622,-16.573572,-33.882336,-52.682774,52.525814,-16.857126,-16.685429,-33.699516
2035,-2.7918415,2.9248328,-0.835099,-5.651676,-6.353784,-3.1185324,2.0181165,-0.56586534,-4.271079,-5.9373603
2036,-9.68859,8.837698,-1.5621564,-8.793051,-11.2060995,-11.047864,10.526968,-1.9765115,-9.229541,-11.726949
2037,-10.360115,2.3901029,-1.2312435,-2.554439,-11.755695,-9.762387,2.3366833,-1.0127757,-2.1946301,-10.633109
2038,-10.980667,7.980532,-2.804993,-12.413851,-18.218979,-11.183212,8.164306,-2.8677585,-12.699186,-18.585852
2039,1.3721011,1.4992545,-0.60115045,-4.1283207,-1.8581157,2.6971285,0.8652666,-0.2487214,-4.0357585,-0.7220846
2040,-30.387287,58.75113,-7.0076714,-74.94618,-53.590015,-42.152615,50.084194,-7.417336,-73.06547,-72.55122
2041,-14.733447,12.850854,-3.318027,-8.429647,-13.630268,-10.515005,9.322294,-2.634933,-8.705256,-12.5329
2042,-2.6372478,2.5549297,-0.85295355,-6.0461955,-6.9814672,-2.641211,2.7364874,-0.8596764,-5.774504,-6.538904
2043,-6.074994,5.3920574,-1.1073277,-3.6105344,-5.400799,-7.217037,6.5004582,-0.7881791,-3.8778331,-5.382591
2044,-134.99004,94.7836,-45.90797,-26.525675,-112.64008,-138.59557,94.011734,-47.256733,-26.374352,-118.21491
2045,-17.236492,24.474846,-4.572432,-11.236572,-8.57065,-17.627016,24.833298,-5.1921167,-11.369042,-9.354878
2046,-38.826275,31.56979,-10.506862,-16.888205,-34.65155,-40.226944,33.270657,-10.913283,-17.287903,-35.157475
2047,-10.189309,10.602546,-2.3592863,-7.812042,-9.758092,-11.346807,10.881105,-3.430648,-7.912899,-11.809249
2048,-8.434417,1.9893944,-0.7162908,-1.4958673,-8.657181,-7.73103,1.8925172,-0.85765195,-1.0672728,-7.7634373
2049,-7.565529,2.6804883,-1.1855363,-3.4275908,-9.498167,-8.003371,1.8595225,-1.2297225,-2.7230964,-10.096668
2050,-6.274761,5.4578314,-1.1171755,-5.4428835,-7.376989,-6.8361173,4.4443274,-1.3751047,-5.422618,-9.189512
2051,-3.348126,8.802507,-1.2257136,-16.054117,-11.825449,-2.832911,8.821799,-0.928924,-16.898958,-11.838993
2052,-42.630604,51.34814,-12.46753,-17.05277,-20.802765,-43.559162,54.033222,-12.67821,-17.898046,-20.102196
2053,3.0211375,0.9045879,-0.5692982,-3.0064611,0.34996605,4.3605857,1.1261564,-0.4185574,-2.7144535,2.3537314
