CONFIGURATIONS,ELECTRO,EXCHANGE,INDUCTION,DISPERISION,TOTAL
AGIGEE.RFD.cif_383.xyz,-18.52966501,48.02748954,-5.16359016,-58.71431698,-34.38008262
AGIGEE.RFD.cif_386.xyz,-16.23690361,15.04432119,-4.29953038,-15.02640433,-20.51851713
AGIGEE.RFD.cif_389.xyz,-14.22041057,24.67998826,-3.43082928,-26.47828226,-19.44953385
AGIGEE.RFD.cif_436.xyz,-33.63485874,58.03985514,-6.94010843,-78.17888570,-60.71399773
AGIGEE.RFD.cif_464.xyz,-9.63521420,9.61984842,-2.46603152,-9.94829781,-12.42969510
AGIGEE.RFD.cif_497.xyz,-0.84166043,4.55094791,-1.70666920,-9.28545250,-7.28283422
AGIGEE.RFD.cif_532.xyz,-63.67635799,59.87333553,-15.42328728,-18.23212955,-37.45843929
AGIGEE.RFD.cif_538.xyz,1.49722718,4.90814390,-0.49052575,-5.71620455,0.19864078
AGIJIN.RFD.cif_202.xyz,-13.61538582,11.67493529,-3.57078043,-13.06790134,-18.57913230
AGIJIN.RFD.cif_221.xyz,-3.03949263,9.92580753,-2.07041340,-12.84804375,-8.03214226
AGIJIN.RFD.cif_264.xyz,2.21327953,2.16091334,-0.32634689,-4.10058265,-0.05273667
AGIJIN.RFD.cif_285.xyz,-11.75682249,3.71265031,-1.86019541,-6.94619545,-16.85056305
AGIJIN.RFD.cif_304.xyz,4.49111901,1.95004182,-0.60167538,-3.58062459,2.25886086
AGIJIN.RFD.cif_318.xyz,-45.35112910,78.07403657,-17.49947197,-96.19993088,-80.97649538
AGIJIN.RFD.cif_347.xyz,-0.33191086,2.50102073,-0.70600785,-6.47351530,-5.01041327
AGIJIN.RFD.cif_351.xyz,-1.39150071,3.97138042,-1.00842043,-8.90671414,-7.33525486
AGIJIN.RFD.cif_363.xyz,-2.09086324,7.78152626,-1.59473466,-8.89160617,-4.79567782
AGIJIN.RFD.cif_368.xyz,-4.79520391,4.36565857,-0.77374047,-4.28588483,-5.48917065
AGIJIN.RFD.cif_371.xyz,-9.83721050,15.18054572,-3.39732004,-16.10634359,-14.16032841
AGIJIN.RFD.cif_388.xyz,4.20426793,18.55359679,-6.08907724,-25.77743725,-9.10864977
AGIJIN.RFD.cif_425.xyz,-8.85495203,5.92117722,-1.39702278,-5.94134905,-10.27214665
AGIJIN.RFD.cif_428.xyz,2.71478026,0.73360730,-0.26277159,-2.86901500,0.31660098
AGIJIN.RFD.cif_434.xyz,-0.32996326,2.50078131,-0.70601005,-6.47341208,-5.00860408
AGIJIN.RFD.cif_467.xyz,-51.20458660,76.63180129,-16.23733485,-93.12695814,-83.93707829
AGIJIN.RFD.cif_473.xyz,-39.00367232,18.42517851,-9.16433092,-15.50840405,-45.25122879
AGIJIN.RFD.cif_496.xyz,-11.75638797,3.71291149,-1.86030214,-6.94634922,-16.85012783
AGOHEM.RFD.cif_123.xyz,-10.88144071,5.61264047,-2.61122702,-14.29128934,-22.17131660
AGOHEM.RFD.cif_140.xyz,-6.09477391,4.86230283,-2.98018089,-13.53489663,-17.74754861
AGOHEM.RFD.cif_187.xyz,-30.07541284,41.42143089,-10.99376949,-62.21152264,-61.85927409
AGOHEM.RFD.cif_193.xyz,-13.54250824,28.32198190,-2.61272096,-34.20986454,-22.04311184
AGOHEM.RFD.cif_203.xyz,-21.81287083,19.31078960,-4.65471855,-7.62122257,-14.77802235
AGOHEM.RFD.cif_232.xyz,-37.91919323,50.34966320,-14.23724429,-18.11705659,-19.92383091
AGOHEM.RFD.cif_237.xyz,-39.94010176,24.58267986,-8.56104817,-44.89609886,-68.81456892
AGOHEM.RFD.cif_241.xyz,-0.38183889,0.52947119,-0.03216336,-2.53611536,-2.42064642
AGOHEM.RFD.cif_286.xyz,-69.05953843,66.54772144,-21.21570044,-31.40904879,-55.13656622
AGOHEM.RFD.cif_292.xyz,-2.22792719,4.94799516,-0.55596674,-10.20201441,-8.03791318
AGOHEM.RFD.cif_302.xyz,-91.51039331,98.32483456,-35.49055809,-21.73067931,-50.40679615
AGOHEM.RFD.cif_317.xyz,-10.88144001,5.61264044,-2.61125093,-14.29128950,-22.17134000
AHEVOB.RFD.cif_1003.xyz,-14.64125730,8.79814395,-3.60329892,-11.81530248,-21.26171476
AHEVOB.RFD.cif_1072.xyz,-43.50302580,48.14940059,-12.79827422,-48.47391947,-56.62581890
AHEVOB.RFD.cif_1082.xyz,-27.70031798,34.22058762,-5.79469371,-38.57490380,-37.84932786
AHEVOB.RFD.cif_1168.xyz,-48.09891267,34.16224634,-9.19747920,-28.34134157,-51.47548709
AHEVOB.RFD.cif_1169.xyz,-16.01602037,13.59788612,-3.34833320,-18.35452008,-24.12098753
AHEVOB.RFD.cif_1253.xyz,-5.52857534,6.73083012,-2.61077588,-9.64459461,-11.05311571
AHEVOB.RFD.cif_770.xyz,1.44714627,0.21187427,-0.53123722,-2.46521664,-1.33743331
AHEVOB.RFD.cif_831.xyz,-34.84756440,23.46034947,-6.70981615,-23.53511123,-41.63214231
AHEVOB.RFD.cif_854.xyz,-15.66175169,29.39237121,-4.88045595,-28.07681388,-19.22665032
AHEVOB.RFD.cif_910.xyz,-33.42014769,54.92467782,-7.42828925,-51.42718294,-37.35094206
AHEVOB.RFD.cif_912.xyz,-39.75332360,42.15703289,-11.76332214,-31.65768506,-41.01729791
AHEVOB.RFD.cif_988.xyz,-9.64997621,3.51469768,-1.88262596,-7.29494461,-15.31284911
AJAKOL.RFD.cif_351.xyz,-5.01397976,2.87784639,-1.53462931,-5.17224009,-8.84300276
AJAKOL.RFD.cif_352.xyz,-8.08564485,9.17334179,-2.62623695,-14.69712429,-16.23566430
AJAKOL.RFD.cif_357.xyz,-6.93558894,5.52805570,-1.80089190,-5.89729651,-9.10572164
AJAKOL.RFD.cif_358.xyz,-10.76232792,5.17663013,-1.97525248,-6.41636194,-13.97731221
AJAKOL.RFD.cif_446.xyz,-63.69613488,69.70012724,-18.99132674,-21.84823800,-34.83557238
AJAKOL.RFD.cif_447.xyz,-4.45742800,21.11113492,-1.99513117,-28.06941609,-13.41084034
AJAKOL.RFD.cif_451.xyz,0.05873554,8.34382174,-1.62551426,-14.64614758,-7.86910456
AJAKOL.RFD.cif_452.xyz,0.05873719,8.34382174,-1.62553791,-14.64614758,-7.86912655
AJAKOL.RFD.cif_455.xyz,-13.73665538,8.98505833,-2.71391283,-12.60362662,-20.06913650
AJAKOL.RFD.cif_456.xyz,-13.73964424,8.98656472,-2.71445238,-12.60426700,-20.07179890
AJAKOL.RFD.cif_545.xyz,-2.27957593,6.90531674,-0.83715559,-5.44335109,-1.65476588
AJAKOL.RFD.cif_546.xyz,-57.23153671,55.77322975,-15.37774089,-19.16299194,-35.99903979
AJAKOL.RFD.cif_551.xyz,-2.60279520,8.67192650,-1.14540748,-12.29449259,-7.37076877
AJAREJ.RFD.cif_110.xyz,2.62932194,15.61170006,-3.10825815,-18.10377223,-2.97100837
AJAREJ.RFD.cif_125.xyz,-3.38772172,4.07134633,-3.01901400,-6.81145829,-9.14684767
AJAREJ.RFD.cif_134.xyz,-3.58679087,9.63798303,-3.18732993,-13.11481370,-10.25095147
AJAREJ.RFD.cif_148.xyz,-2.92294746,6.22892304,-1.36341234,-3.75932102,-1.81675777
AJAREJ.RFD.cif_155.xyz,-23.19873195,11.88685559,-4.88568659,-10.14542256,-26.34298552
AJAREJ.RFD.cif_182.xyz,0.50257960,4.68055496,-1.23054703,-4.79100019,-0.83841266
AJAREJ.RFD.cif_186.xyz,-57.31596069,21.91704434,-11.03882478,-26.42285445,-72.86059558
AJAREJ.RFD.cif_202.xyz,-57.98218141,51.66090585,-14.23464701,-11.87326691,-32.42918948
AJAREJ.RFD.cif_207.xyz,-42.03027103,41.88134765,-10.09324553,-46.46401707,-56.70618598
AJAREJ.RFD.cif_224.xyz,-3.58742193,9.64041666,-3.18697653,-13.11613155,-10.25011335
